ime,ocena,naslov
Trillium / Amager Sigtebrod,4.2,/beer/trillium--amager-sigtebrod/454740/104498/
Perrin Black Goat,3.5,/beer/perrin-black-goat/203015/101290/
Ommegang Hop House,3.5,/beer/ommegang-hop-house/242426/158283/
Avery Uncle Jacob\xc2\x92s Stout,4.4,/beer/avery-uncle-jacobs-stout/167223/61944/
Trillium / Amager Sigtebrod,4.0,/beer/trillium--amager-sigtebrod/454740/104537/
Trillium / Amager Sigtebrod,4.1,/beer/trillium--amager-sigtebrod/454740/229832/
Stone IPA &#40;India Pale Ale&#41;,3.1,/beer/stone-ipa-india-pale-ale/422/431216/
Trillium / Amager Sigtebrod,4.0,/beer/trillium--amager-sigtebrod/454740/126758/
Trillium / Amager Sigtebrod,3.9,/beer/trillium--amager-sigtebrod/454740/339387/
Trillium / Amager Sigtebrod,4.0,/beer/trillium--amager-sigtebrod/454740/79809/
Ommegang Rosetta ,3.7,/beer/ommegang-rosetta/362980/49280/
Perrin No Rules Vietnamese Porter,3.6,/beer/perrin-no-rules-vietnamese-porter/351067/126758/
Ballast Point Dead Ringer Oktoberfest,3.4,/beer/ballast-point-dead-ringer-oktoberfest/278843/22362/
Perrin No Rules Vietnamese Porter,3.6,/beer/perrin-no-rules-vietnamese-porter/351067/229832/
Societe The Coachman,3.3,/beer/societe-the-coachman/346552/9357/
Perrin No Rules Vietnamese Porter,3.9,/beer/perrin-no-rules-vietnamese-porter/351067/79809/
Perrin No Rules Vietnamese Porter,3.0,/beer/perrin-no-rules-vietnamese-porter/351067/104537/
Lagunitas Tuberfest,3.1,/beer/lagunitas-tuberfest/444171/6738/
Trillium Melcher Street IPA,3.6,/beer/trillium-melcher-street-ipa/275885/104307/
North Coast Old Rasputin &#40;Bourbon Barrel&#41;,4.1,/beer/north-coast-old-rasputin-bourbon-barrel/71101/85722/
De Dolle Dulle Teve 10\xc2\xba &#40;Mad Bitch&#41;,3.5,/beer/de-dolle-dulle-teve-10-mad-bitch/6875/321344/
Squatters Live & Let Live Kristallweizen,3.6,/beer/squatters-live-let-live-kristallweizen/427599/10924/
Lagunitas Born Again Yesterday ,3.5,/beer/lagunitas-born-again-yesterday/425060/121903/
Three Floyds Wigsplitter,3.4,/beer/three-floyds-wigsplitter/342218/79809/
Boombox / Machine Pablo Esco Gnar,4.1,/beer/boombox--machine-pablo-esco-gnar/454620/79809/
Fremont Brew 1000,4.0,/beer/fremont-brew-1000/270858/79809/
Founders KBS &#40;Kentucky Breakfast Stout&#41;,3.9,/beer/founders-kbs-kentucky-breakfast-stout/40544/361651/
Trillium Vicinity,3.8,/beer/trillium-vicinity/311024/104307/
Rodenbach Alexander,4.3,/beer/rodenbach-alexander/1195/98012/
Tired Hands Shambolic,3.8,/beer/tired-hands-shambolic/252225/289313/
Cascade Noyaux,4.2,/beer/cascade-noyaux/187304/260051/
Lagunitas Tuberfest,3.0,/beer/lagunitas-tuberfest/444171/346236/
Lagunitas Born Yesterday Pale Ale,3.4,/beer/lagunitas-born-yesterday-pale-ale/295821/346236/
Firestone Walker 17 &#40;XVII Seventeenth Anniversary Ale&#41;,4.4,/beer/firestone-walker-17-xvii-seventeenth-anniversary-ale/236504/125945/
Evil Twin Imperial Doughnut Break,4.2,/beer/evil-twin-imperial-doughnut-break/202247/165781/
Founders PC Pils,4.1,/beer/founders-pc-pils/382690/239316/
Almanac Craft Pilsner,3.7,/beer/almanac-craft-pilsner/426431/105791/
